Temperature             Resistance
(Kelvin)                (Ohms)

1.20000319561935E+00   7.75751195227503E+03
1.30156411373613E+00   6.67512961683722E+03
1.40073656817592E+00   5.86629900063478E+03
1.60020214820048E+00   4.70239494401039E+03
1.80057644208910E+00   3.92144074152921E+03
2.00096421793746E+00   3.36942043790972E+03
2.20006750966695E+00   2.96165908293558E+03
2.40010849783465E+00   2.64519374500756E+03
2.59845179607337E+00   2.39652222434049E+03
2.79948527022133E+00   2.19186861557953E+03
3.00132743472732E+00   2.02260369727378E+03
3.20031709931083E+00   1.88270077918054E+03
3.39922526780108E+00   1.76339463331934E+03
3.59891673064872E+00   1.66027532687352E+03
3.79901614799415E+00   1.57013177237962E+03
3.99894247191848E+00   1.49108879307319E+03
4.19855345350943E+00   1.42096526914817E+03
4.68117297830403E+00   1.28124068699013E+03
5.09116457159454E+00   1.18603151784418E+03
5.60610982597796E+00   1.08841100243697E+03
6.32672982274012E+00   9.81604722885904E+02
7.15094040162507E+00   8.87660582156516E+02
8.19223431029634E+00   7.96990929109181E+02
9.23398334618456E+00   7.27221768322516E+02
1.02704591226554E+01   6.71778960332053E+02
1.13018532067450E+01   6.26307418570958E+02
1.23153581258127E+01   5.88710929926952E+02
1.33113550062505E+01   5.56939607162412E+02
1.42959765501959E+01   5.29497042405438E+02
1.52714697403153E+01   5.05458532427838E+02
1.62403060875699E+01   4.84075703303619E+02
1.72050776970911E+01   4.64914529192527E+02
1.81636753171056E+01   4.47600461540392E+02
1.91256396716481E+01   4.31729403365555E+02
2.00916079241002E+01   4.17052883950642E+02
2.11553751296687E+01   4.02208486936689E+02
2.27294178255116E+01   3.82353473899927E+02
2.43485795456530E+01   3.64153952371084E+02
2.59700269306594E+01   3.47807693771787E+02
2.75887669011909E+01   3.33053577242072E+02
2.92048720700896E+01   3.19646017022040E+02
3.10133613374017E+01   3.06022508416532E+02
3.31218188945171E+01   2.91632243050795E+02
3.61284435380010E+01   2.73540667568658E+02
3.91341365899219E+01   2.57761162539557E+02
4.21305647016177E+01   2.43877125346914E+02
4.51398580220084E+01   2.31498009457657E+02
4.81369819909237E+01   2.20445043613079E+02
5.01327928517608E+01   2.13706604125330E+02
5.51267871159921E+01   1.98655070785478E+02
6.01235425681889E+01   1.85716028278889E+02
6.51225645748575E+01   1.74472410083734E+02
7.01271841539257E+01   1.64596976076167E+02
7.51269812466148E+01   1.55862665295488E+02
8.01236279261741E+01   1.48055644628156E+02
8.51188445768852E+01   1.41034614902215E+02
9.01170701197757E+01   1.34683926588474E+02
9.51121348922205E+01   1.28914289763127E+02
1.00108608394216E+02   1.23624056147261E+02
1.10112160262690E+02   1.14290507704464E+02
1.20118329677250E+02   1.06308208028837E+02
1.30111610422236E+02   9.94033235294361E+01
1.40123426816164E+02   9.33491909480828E+01
1.50126484792242E+02   8.80239624501201E+01
1.60129789329229E+02   8.32881538285327E+01
1.70134596442937E+02   7.90546164703034E+01
1.80138696799108E+02   7.52528604027484E+01
1.90142520666890E+02   7.18228599718336E+01
2.00150314417328E+02   6.87078435843302E+01
2.10147936770726E+02   6.58805837167626E+01
2.20146357553999E+02   6.32924070580783E+01
2.30160409523531E+02   6.09215531664773E+01
2.40169380219218E+02   5.87450872747539E+01
2.50165557169439E+02   5.67402043280101E+01
2.60159084558458E+02   5.48947536032634E+01
2.70174124427007E+02   5.31734687085606E+01
2.80179237934009E+02   5.15819598230787E+01
2.90175374739571E+02   5.01073848699011E+01
3.00195146660982E+02   4.87226796214108E+01
3.10190346321199E+02   4.74389061688434E+01
3.15198705121931E+02   4.68283837875127E+01
3.20202670730750E+02   4.62354064238121E+01
3.26234959016860E+02   4.55501201312287E+01
3.30215833495296E+02   4.51101292206100E+01
