Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.400   5.871419E+03   -7.231797E+03   -1.7244E+00
   1.500   5.224136E+03   -5.783040E+03   -1.6605E+00
   1.600   4.702959E+03   -4.691208E+03   -1.5960E+00
   1.700   4.277141E+03   -3.862871E+03   -1.5353E+00
   1.800   3.923807E+03   -3.232469E+03   -1.4829E+00
   1.900   3.625961E+03   -2.743258E+03   -1.4375E+00
   2.000   3.371806E+03   -2.354765E+03   -1.3967E+00
   2.100   3.152488E+03   -2.042106E+03   -1.3603E+00
   2.200   2.961485E+03   -1.786550E+03   -1.3272E+00
   2.300   2.793705E+03   -1.575305E+03   -1.2969E+00
   2.400   2.645277E+03   -1.398492E+03   -1.2688E+00
   2.500   2.513089E+03   -1.249272E+03   -1.2428E+00
   2.600   2.394686E+03   -1.122196E+03   -1.2184E+00
   2.700   2.288048E+03   -1.013219E+03   -1.1956E+00
   2.800   2.191547E+03   -9.190998E+02   -1.1743E+00
   2.900   2.103816E+03   -8.373445E+02   -1.1542E+00
   3.000   2.023735E+03   -7.658913E+02   -1.1354E+00
   3.100   1.950348E+03   -7.031499E+02   -1.1176E+00
   3.200   1.882860E+03   -6.477580E+02   -1.1009E+00
   3.300   1.820587E+03   -5.986510E+02   -1.0851E+00
   3.400   1.762951E+03   -5.549164E+02   -1.0702E+00
   3.500   1.709449E+03   -5.158179E+02   -1.0561E+00
   3.600   1.659654E+03   -4.807245E+02   -1.0428E+00
   3.700   1.613188E+03   -4.491198E+02   -1.0301E+00
   3.800   1.569728E+03   -4.205592E+02   -1.0181E+00
   3.900   1.528988E+03   -3.946644E+02   -1.0067E+00
   4.000   1.490718E+03   -3.711057E+02   -9.9578E-01
   4.200   1.420728E+03   -3.300448E+02   -9.7569E-01
   4.400   1.358267E+03   -2.954929E+02   -9.5723E-01
   4.600   1.302185E+03   -2.661259E+02   -9.4010E-01
   4.800   1.251522E+03   -2.411327E+02   -9.2482E-01
   5.000   1.205509E+03   -2.195222E+02   -9.1050E-01
   5.200   1.163520E+03   -2.007909E+02   -8.9737E-01
   5.400   1.125039E+03   -1.843771E+02   -8.8498E-01
   5.600   1.089634E+03   -1.699946E+02   -8.7366E-01
   5.800   1.056929E+03   -1.572955E+02   -8.6317E-01
   6.000   1.026625E+03   -1.459632E+02   -8.5307E-01
   6.500   9.597270E+02   -1.227144E+02   -8.3112E-01
   7.000   9.030463E+02   -1.047559E+02   -8.1202E-01
   7.500   8.543173E+02   -9.067952E+01   -7.9607E-01
   8.000   8.119165E+02   -7.933201E+01   -7.8168E-01
   8.500   7.746190E+02   -7.015707E+01   -7.6984E-01
   9.000   7.415031E+02   -6.254119E+01   -7.5909E-01
   9.500   7.118627E+02   -5.620437E+01   -7.5006E-01
  10.000   6.851403E+02   -5.083133E+01   -7.4191E-01
  10.500   6.608957E+02   -4.626656E+01   -7.3506E-01
  11.000   6.387708E+02   -4.232824E+01   -7.2892E-01
  11.500   6.184780E+02   -3.892355E+01   -7.2375E-01
  12.000   5.997771E+02   -3.594499E+01   -7.1917E-01
  12.500   5.824715E+02   -3.333364E+01   -7.1535E-01
  13.000   5.663943E+02   -3.102139E+01   -7.1201E-01
  13.500   5.514065E+02   -2.896989E+01   -7.0927E-01
  14.000   5.373881E+02   -2.713771E+01   -7.0699E-01
  14.500   5.242364E+02   -2.549866E+01   -7.0527E-01
  15.000   5.118641E+02   -2.401444E+01   -7.0373E-01
  15.500   5.001991E+02   -2.266704E+01   -7.0240E-01
  16.000   4.891766E+02   -2.144230E+01   -7.0134E-01
  16.500   4.787382E+02   -2.032872E+01   -7.0064E-01
  17.000   4.688323E+02   -1.930946E+01   -7.0017E-01
  17.500   4.594144E+02   -1.837534E+01   -6.9995E-01
  18.000   4.504447E+02   -1.751545E+01   -6.9993E-01
  18.500   4.418877E+02   -1.672300E+01   -7.0012E-01
  19.000   4.337119E+02   -1.598950E+01   -7.0047E-01
  19.500   4.258892E+02   -1.530975E+01   -7.0098E-01
  20.000   4.183943E+02   -1.467750E+01   -7.0161E-01
  21.000   4.042991E+02   -1.353880E+01   -7.0323E-01
  22.000   3.912692E+02   -1.254186E+01   -7.0519E-01
  23.000   3.791760E+02   -1.166280E+01   -7.0744E-01
  24.000   3.679113E+02   -1.088155E+01   -7.0984E-01
  25.000   3.573848E+02   -1.018405E+01   -7.1240E-01
  26.000   3.475198E+02   -9.557087E+00   -7.1502E-01
  27.000   3.382504E+02   -8.991033E+00   -7.1769E-01
  28.000   3.295201E+02   -8.477837E+00   -7.2038E-01
  29.000   3.212796E+02   -8.010291E+00   -7.2304E-01
  30.000   3.134860E+02   -7.583146E+00   -7.2569E-01
  31.000   3.061016E+02   -7.191320E+00   -7.2829E-01
  32.000   2.990928E+02   -6.830928E+00   -7.3084E-01
  33.000   2.924304E+02   -6.498491E+00   -7.3334E-01
  34.000   2.860875E+02   -6.191123E+00   -7.3578E-01
  35.000   2.800408E+02   -5.905708E+00   -7.3811E-01
  36.000   2.742692E+02   -5.640763E+00   -7.4039E-01
  37.000   2.687531E+02   -5.394257E+00   -7.4264E-01
  38.000   2.634753E+02   -5.163929E+00   -7.4477E-01
  39.000   2.584202E+02   -4.948763E+00   -7.4685E-01
  40.000   2.535732E+02   -4.747408E+00   -7.4888E-01
  42.000   2.444526E+02   -4.380897E+00   -7.5269E-01
  44.000   2.360213E+02   -4.056771E+00   -7.5628E-01
  46.000   2.282015E+02   -3.768573E+00   -7.5965E-01
  48.000   2.209268E+02   -3.510860E+00   -7.6279E-01
  50.000   2.141403E+02   -3.279776E+00   -7.6580E-01
  52.000   2.077925E+02   -3.071436E+00   -7.6863E-01
  54.000   2.018414E+02   -2.882820E+00   -7.7126E-01
  56.000   1.962493E+02   -2.712010E+00   -7.7388E-01
  58.000   1.909834E+02   -2.556288E+00   -7.7632E-01
  60.000   1.860151E+02   -2.414155E+00   -7.7870E-01
  65.000   1.747354E+02   -2.108529E+00   -7.8435E-01
  70.000   1.648356E+02   -1.859556E+00   -7.8969E-01
  75.000   1.560669E+02   -1.654401E+00   -7.9504E-01
  77.350   1.522793E+02   -1.570153E+00   -7.9756E-01
  80.000   1.482363E+02   -1.482418E+00   -8.0003E-01
  85.000   1.411984E+02   -1.337064E+00   -8.0490E-01
  90.000   1.348289E+02   -1.213743E+00   -8.1019E-01
  95.000   1.290333E+02   -1.107081E+00   -8.1508E-01
 100.000   1.237349E+02   -1.014387E+00   -8.1981E-01
 105.000   1.188703E+02   -9.331432E-01   -8.2426E-01
 110.000   1.143873E+02   -8.615709E-01   -8.2853E-01
 115.000   1.102410E+02   -7.981853E-01   -8.3264E-01
 120.000   1.063940E+02   -7.416899E-01   -8.3654E-01
 125.000   1.028142E+02   -6.911156E-01   -8.4025E-01
 130.000   9.947439E+01   -6.456052E-01   -8.4372E-01
 135.000   9.635081E+01   -6.044907E-01   -8.4697E-01
 140.000   9.342316E+01   -5.671750E-01   -8.4994E-01
 145.000   9.067350E+01   -5.331960E-01   -8.5266E-01
 150.000   8.808633E+01   -5.021348E-01   -8.5507E-01
 155.000   8.564784E+01   -4.736621E-01   -8.5720E-01
 160.000   8.334590E+01   -4.474779E-01   -8.5903E-01
 165.000   8.116964E+01   -4.233425E-01   -8.6056E-01
 170.000   7.910943E+01   -4.010356E-01   -8.6179E-01
 175.000   7.715654E+01   -3.803787E-01   -8.6274E-01
 180.000   7.530317E+01   -3.612063E-01   -8.6341E-01
 185.000   7.354223E+01   -3.433821E-01   -8.6380E-01
 190.000   7.186731E+01   -3.267795E-01   -8.6393E-01
 195.000   7.027257E+01   -3.112920E-01   -8.6381E-01
 200.000   6.875270E+01   -2.968206E-01   -8.6344E-01
 205.000   6.730281E+01   -2.832810E-01   -8.6286E-01
 210.000   6.591847E+01   -2.705942E-01   -8.6205E-01
 215.000   6.459556E+01   -2.586924E-01   -8.6103E-01
 220.000   6.333034E+01   -2.475118E-01   -8.5982E-01
 225.000   6.211933E+01   -2.369975E-01   -8.5842E-01
 230.000   6.095934E+01   -2.270970E-01   -8.5684E-01
 235.000   5.984741E+01   -2.177654E-01   -8.5509E-01
 240.000   5.878081E+01   -2.089594E-01   -8.5317E-01
 245.000   5.775701E+01   -2.006418E-01   -8.5110E-01
 250.000   5.677364E+01   -1.927766E-01   -8.4888E-01
 255.000   5.582854E+01   -1.853329E-01   -8.4652E-01
 260.000   5.491966E+01   -1.782806E-01   -8.4401E-01
 265.000   5.404512E+01   -1.715938E-01   -8.4138E-01
 270.000   5.320316E+01   -1.652473E-01   -8.3861E-01
 273.150   5.268870E+01   -1.614141E-01   -8.3681E-01
 275.000   5.239212E+01   -1.592192E-01   -8.3572E-01
 280.000   5.161047E+01   -1.534883E-01   -8.3271E-01
 285.000   5.085677E+01   -1.480362E-01   -8.2959E-01
 290.000   5.012967E+01   -1.428448E-01   -8.2636E-01
 295.000   4.942791E+01   -1.378985E-01   -8.2302E-01
 300.000   4.875031E+01   -1.331820E-01   -8.1958E-01
 305.000   4.809573E+01   -1.286819E-01   -8.1604E-01
 310.000   4.746315E+01   -1.243850E-01   -8.1241E-01
 315.000   4.685156E+01   -1.202803E-01   -8.0869E-01
 320.000   4.626004E+01   -1.163563E-01   -8.0489E-01
 325.000   4.568771E+01   -1.126030E-01   -8.0100E-01
