"HeliumDepth [um]","C(GND,GND) [farad]"
0.04,2.27306222258211e-16
0.06,2.27319604239925e-16
0.08,2.27349429281185e-16
0.1,2.27365078287734e-16
0.12,2.27402459022166e-16
0.14,2.27406643249548e-16
0.15,2.27423913385906e-16
0.16,2.27439058487589e-16
0.18,2.27456873875599e-16
0.2,2.27476459324728e-16
0.22,2.27493047603773e-16
0.24,2.27511476697168e-16
0.25,2.27518177537137e-16
0.26,2.27518402118169e-16
0.28,2.27535515162728e-16
0.3,2.27551477676724e-16
0.32,2.27565480852979e-16
0.34,2.27579146689218e-16
0.35,2.27590303971944e-16
0.36,2.27595067416192e-16
0.38,2.27611460381197e-16
0.4,2.27618379410083e-16
0.42,2.27631171454569e-16
0.44,2.27659917968154e-16
0.45,2.27666721934287e-16
0.46,2.27674132192462e-16
0.48,2.2768238377894e-16
0.5,2.27683682059056e-16
0.52,2.27710146379147e-16
0.54,2.27713766097425e-16
0.55,2.27720315583821e-16
0.56,2.27727544185164e-16
0.58,2.27731182245373e-16
0.6,2.27742702262972e-16
0.64,2.27769125525094e-16
0.65,2.27762343324782e-16
0.66,2.27779156591532e-16
0.68,2.27781459189999e-16
0.7,2.27803489044265e-16
0.72,2.2780719020715e-16
0.74,2.27818068915101e-16
0.75,2.27823682953454e-16
0.76,2.27827278112302e-16
0.78,2.27835962550994e-16
0.8,2.27845442813184e-16
0.82,2.27855293071233e-16
0.84,2.27863813067086e-16
0.85,2.27866523444314e-16
0.86,2.27871555594181e-16
0.88,2.27867523439946e-16
0.9,2.27890936380688e-16
0.92,2.27894726977099e-16
0.94,2.27900923909862e-16
0.95,2.27904873130304e-16
0.96,2.27908684405751e-16
0.98,2.27915928125254e-16
1,2.27907042643127e-16
1.05,2.27945428622373e-16
1.1,2.2795589350666e-16
1.15,2.27972508770718e-16
1.2,2.27987313680251e-16
1.25,2.28005227469603e-16
1.3,2.28016971732084e-16
1.35,2.28031476034293e-16
1.4,2.2804522174983e-16
1.45,2.28057063490245e-16
1.5,2.28053357806095e-16
1.55,2.28076485165633e-16
1.6,2.28085555539724e-16
1.65,2.28097033095963e-16
1.7,2.28104768875969e-16
1.75,2.28114763566101e-16
1.8,2.28121368923418e-16
1.85,2.28131040073867e-16
1.9,2.28138843284984e-16
1.95,2.28142907793169e-16
2,2.28150892992471e-16
2.1,2.28166100206727e-16
2.2,2.28173975436623e-16
2.3,2.28181727681487e-16
2.4,2.28194995837338e-16
2.5,2.28192548110806e-16
2.6,2.28214052889598e-16
2.7,2.28219535722378e-16
2.8,2.28230053333957e-16
2.9,2.28233399581259e-16
3,2.28239698587246e-16
3.1,2.28246824431776e-16
3.2,2.28244401857537e-16
3.3,2.28238365921642e-16
3.4,2.28245246580207e-16
3.5,2.28258097967601e-16
3.6,2.28247237299479e-16
3.7,2.28254900884368e-16
3.8,2.28255665315299e-16
3.9,2.28255312467812e-16
4,2.28255722368995e-16
4.1,2.28272034168644e-16
4.2,2.2827500599163e-16
4.3,2.28275702829146e-16
4.4,2.28261245391675e-16
4.5,2.28265498561682e-16
4.6,2.28277155462154e-16
4.7,2.28265220952524e-16
4.8,2.2827127708161e-16
4.9,2.28281556640616e-16
5,2.28282567356351e-16
5.1,2.28281566960053e-16
5.2,2.28281444024607e-16
5.3,2.2827652802549e-16
5.4,2.28280212967974e-16
5.5,2.2827579260632e-16
5.6,2.2827998287524e-16
5.7,2.28277730832944e-16
5.8,2.28278675900564e-16
6,2.28279011103694e-16
