Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,334,,
3.00E-07,-1.93E-03,3.46E-08,"		9.9839059199721536e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838778881573875e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9839174318149493e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838368570374980e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838191669543397e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9837846980038303e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838368570374980e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9839279514401846e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838080063726742e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838933315267986e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9840237041794677e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9839812222562307e-01"
3.00E-07,-1.92E-03,3.46E-08,"		9.9838065703563239e-01"
3.00E-07,-1.92E-03,3.46E-08,"		9.9839632468293682e-01"
3.50E-07,-1.92E-03,3.46E-08,"		9.9838635142005772e-01"
3.00E-07,-1.92E-03,3.46E-08,"		9.9840468622154033e-01"
3.50E-07,-1.92E-03,3.46E-08,"		9.9840363903472529e-01"
4.00E-07,-1.92E-03,3.46E-08,"		9.9838425798769093e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838933315267986e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838200109778918e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9840237041794677e-01"
3.00E-07,-1.92E-03,3.46E-08,"		9.9838065703563239e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838894264940725e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9839812222562307e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9838933315267986e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9839279514401846e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9839526722211747e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9838368570374980e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9838778881573875e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9839059199721536e-01"
4.00E-07,-1.92E-03,3.46E-08,"		9.9838425798769093e-01"
3.50E-07,-1.92E-03,3.46E-08,"		9.9840363903472529e-01"
4.00E-07,-1.92E-03,3.46E-08,"		9.9839457419128286e-01"
3.00E-07,-1.92E-03,3.46E-08,"		9.9840468622154033e-01"
3.50E-07,-1.92E-03,3.46E-08,"		9.9840640122021784e-01"
4.00E-07,-1.92E-03,3.46E-08,"		9.9840386381384116e-01"
