Scalar,data,"SurfaceValue(Surface(PDF_Geometry_3), VOLTAGE)",
NumElems,136,,
3.00E-07,-1.92E-03,3.46E-08,"		1.0000511523395335e+00"
3.50E-07,-1.92E-03,3.46E-08,"		1.0000438454399911e+00"
3.50E-07,-1.93E-03,3.46E-08,"		1.0000122661915678e+00"
4.00E-07,-1.92E-03,3.46E-08,"		1.0000368283614438e+00"
4.00E-07,-1.93E-03,3.46E-08,"		1.0000106863713933e+00"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999515705355402e-01"
3.00E-07,-1.92E-03,3.46E-08,"		1.0000511523395335e+00"
3.50E-07,-1.93E-03,3.46E-08,"		1.0000122661915678e+00"
3.00E-07,-1.93E-03,3.46E-08,"		1.0000134290882412e+00"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999515705355402e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9999477910905554e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9999441792075572e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999645528899295e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9998396519823241e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9998531778152067e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9997803689410070e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9997912278536982e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9998010186987341e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999645528899295e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9998531778152067e-01"
3.50E-07,-1.93E-03,3.46E-08,"		1.0000032553965865e+00"
3.00E-07,-1.93E-03,3.46E-08,"		9.9998010186987341e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9996576007927129e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9999441792075572e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9999441792075572e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9999477910905554e-01"
3.50E-07,-1.93E-03,3.46E-08,"		1.0000032553965865e+00"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999515705355402e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999163063441032e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9999645528899295e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9993585945014374e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9997629956873491e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9997049193473686e-01"
3.00E-07,-1.93E-03,3.46E-08,"		9.9998010186987341e-01"
3.50E-07,-1.93E-03,3.46E-08,"		9.9997912278536982e-01"
4.00E-07,-1.93E-03,3.46E-08,"		9.9997803689410070e-01"
4.00E-07,-1.94E-03,3.46E-08,"		1.0000003350552364e+00"
3.50E-07,-1.94E-03,3.46E-08,"		1.0000029441284133e+00"
