Vector,data,"SurfaceValue(Surface(PDF_Geometry_3), VecY(VOLTAGE))",,,
NumElems,335,,,,
3.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.92E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.92E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.92E-03,3.46E-08,4.99E-01,,
3.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
3.50E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
4.00E-07,-1.93E-03,3.46E-08,4.99E-01,,
