"Distance [mm]","Voltage [V]"
0,-0.505061449406142
0.00429288,-0.505066850345478
0.00858576,-0.505083877244872
0.01287864,-0.505115254681666
0.01717152,-0.50516760775824
0.0214644,-0.505258179724319
0.02575728,-0.505446712432272
0.03005016,-0.505854720788476
0.03434304,-0.506346798446392
0.03863592,-0.506841150720577
0.0429288,-0.507335536860956
0.04722168,-0.507829923376588
0.05151456,-0.508324310094317
0.05580744,-0.508818696752014
0.06010032,-0.509313083450861
0.0643932,-0.509807470143398
0.06868608,-0.510301856836849
0.07297896,-0.510796243530452
0.07727184,-0.511290630224213
0.08156472,-0.511785016917989
0.0858576,-0.512279403611727
0.09015048,-0.512773790305418
0.09444336,-0.513268176998994
0.09873624,-0.513762563692389
0.10302912,-0.514256950385585
0.107322,-0.514751337078542
0.11161488,-0.515245723771254
0.11590776,-0.515740110463723
0.12020064,-0.516234497155949
0.12449352,-0.516728883847933
0.1287864,-0.517223270539659
0.13307928,-0.517717657231074
0.13737216,-0.518212043922181
0.14166504,-0.51870643061298
0.14595792,-0.51920081730347
0.1502508,-0.519695203993652
0.15454368,-0.520189590683524
0.15883656,-0.520683977373086
0.16312944,-0.521178364062336
0.16742232,-0.521672750751278
0.1717152,-0.522167137439913
0.17600808,-0.522661524128252
0.18030096,-0.523155910816284
0.18459384,-0.523650297504
0.18888672,-0.524144684191399
0.1931796,-0.524639070878447
0.19747248,-0.525133457565075
0.20176536,-0.525627844251282
0.20605824,-0.526122230937071
0.21035112,-0.526616617622435
0.214644,-0.52711100430737
0.21893688,-0.527605390991848
0.22322976,-0.528099777675875
0.22752264,-0.528594164359448
0.23181552,-0.529088551042569
0.2361084,-0.529582937725237
0.24040128,-0.530077324407453
0.24469416,-0.530571711089217
0.24898704,-0.531066097770527
0.25327992,-0.531560484451383
0.2575728,-0.532054871131764
0.26186568,-0.53254925781169
0.26615856,-0.533043644491161
0.27045144,-0.533538031170177
0.27474432,-0.534032417848742
0.2790372,-0.534526804526975
0.28333008,-0.535021191204927
0.28762296,-0.535515577882596
0.29191584,-0.536009964559984
0.29620872,-0.536504351237091
0.3005016,-0.536998737913918
0.30479448,-0.537493124590463
0.30908736,-0.537987511266728
0.31338024,-0.538481897942713
0.31767312,-0.538976284618417
0.321966,-0.539470671293839
0.32625888,-0.539965057968981
0.33055176,-0.540459444643843
0.33484464,-0.540953831318426
0.33913752,-0.54144821799273
0.3434304,-0.541942604666755
0.34772328,-0.542436991340501
0.35201616,-0.542931378013968
0.35630904,-0.543425764687155
0.36060192,-0.543920151360063
0.3648948,-0.544414538032692
0.36918768,-0.544908924705042
0.37348056,-0.545403311377113
0.37777344,-0.545897698048905
0.38206632,-0.546392084720418
0.3863592,-0.546886471391651
0.39065208,-0.547380858062606
0.39494496,-0.547875244733281
0.39923784,-0.548369631403677
0.40353072,-0.548864018073794
0.4078236,-0.549358404743632
0.41211648,-0.549852791413191
0.41640936,-0.550347178082471
0.42070224,-0.550841564751473
0.42499512,-0.551335951420197
0.429288,-0.551830338088647
0.43358088,-0.552324724756823
0.43787376,-0.552819111424723
0.44216664,-0.553313498092349
0.44645952,-0.553807884759699
0.4507524,-0.554302271426775
0.45504528,-0.554796658093577
0.45933816,-0.555291044760103
0.46363104,-0.555785431426355
0.46792392,-0.556279818092332
0.4722168,-0.556774204758034
0.47650968,-0.557268591423461
0.48080256,-0.557762978088614
0.48509544,-0.558257364753492
0.48938832,-0.558751751418095
0.4936812,-0.559246138082423
0.49797408,-0.559740524746476
0.50226696,-0.560234911410256
0.50655984,-0.560729298073762
0.51085272,-0.561223684736993
0.5151456,-0.56171807139995
0.51943848,-0.562212458062632
0.52373136,-0.56270684472504
0.52802424,-0.563201231387174
0.53231712,-0.563695618049033
0.53661,-0.564190004710618
0.54090288,-0.564684391371928
0.54519576,-0.565178778032964
0.54948864,-0.565673164693726
0.55378152,-0.566167551354213
0.5580744,-0.566661938014426
0.56236728,-0.567156324674364
0.56666016,-0.567650711334028
0.57095304,-0.568145097993418
0.57524592,-0.568639484652533
0.5795388,-0.569133871311374
0.58383168,-0.569628257969941
0.58812456,-0.570122644628234
0.59241744,-0.570617031286252
0.59671032,-0.571111417943996
0.6010032,-0.571605804601466
0.60529608,-0.572100191258661
0.60958896,-0.572594577915583
0.61388184,-0.573088964572229
0.61817472,-0.573583351228602
0.6224676,-0.5740777378847
0.62676048,-0.574572124540524
0.63105336,-0.575066511196074
0.63534624,-0.57556089785135
0.63963912,-0.576055284506351
0.643932,-0.576549671161078
0.64822488,-0.577044057815531
0.65251776,-0.577538444469709
0.65681064,-0.578032831123613
0.66110352,-0.578527217777243
0.6653964,-0.579021604430599
0.66968928,-0.57951599108368
0.67398216,-0.580010377736487
0.67827504,-0.58050476438902
0.68256792,-0.580999151041278
0.6868608,-0.581493537693262
0.69115368,-0.581987924344972
0.69544656,-0.582482310996409
0.69973944,-0.58297669764757
0.70403232,-0.583471084298458
0.7083252,-0.583965470949071
0.71261808,-0.58445985759941
0.71691096,-0.584954244249474
0.72120384,-0.585448630899264
0.72549672,-0.58594301754878
0.7297896,-0.586437404198021
0.73408248,-0.586931790846988
0.73837536,-0.58742617749568
0.74266824,-0.587920564144098
0.74696112,-0.588414950792242
0.751254,-0.588909337440111
0.75554688,-0.589403724087706
0.75983976,-0.589898110735026
0.76413264,-0.590392497382073
0.76842552,-0.590886884028844
0.7727184,-0.591381270675341
0.77701128,-0.591875657321563
0.78130416,-0.592370043967511
0.78559704,-0.592864430613184
0.78988992,-0.593358817258584
0.7941828,-0.593853203903708
0.79847568,-0.594347590548558
0.80276856,-0.594841977193135
0.80706144,-0.595336363837436
0.81135432,-0.595830750481464
0.8156472,-0.596325137125217
0.81994008,-0.596819523768696
0.82423296,-0.5973139104119
0.82852584,-0.59780829705483
0.83281872,-0.598302683697486
0.8371116,-0.598797070339868
0.84140448,-0.599291456981975
0.84569736,-0.599785843623807
0.84999024,-0.600280230265366
0.85428312,-0.600774616906649
0.858576,-0.601269003547659
0.86286888,-0.601763390188395
0.86716176,-0.602257776828855
0.87145464,-0.602752163469042
0.87574752,-0.603246550108954
0.8800404,-0.603740936748592
0.88433328,-0.604235323387956
0.88862616,-0.604729710027045
0.89291904,-0.605224096665861
0.89721192,-0.605718483304401
0.9015048,-0.606212869942667
0.90579768,-0.606707256580659
0.91009056,-0.607201643218377
0.91438344,-0.607696029855821
0.91867632,-0.608190416492989
0.9229692,-0.608684803129884
0.92726208,-0.609179189766504
