"Distance [mm]","Voltage [V]"
0,-0.993179091012362
0.00429288,-0.99309599259122
0.00858576,-0.99276298492025
0.01287864,-0.99228371712927
0.01717152,-0.991797494325227
0.0214644,-0.991311184764513
0.02575728,-0.990824880317469
0.03005016,-0.99033857360007
0.03434304,-0.989852267057641
0.03863592,-0.989365960513321
0.0429288,-0.988879653969422
0.04722168,-0.988393347417843
0.05151456,-0.987907040867111
0.05580744,-0.987420734316624
0.06010032,-0.986934427766267
0.0643932,-0.98644812121574
0.06868608,-0.985961814664797
0.07297896,-0.98547550811366
0.07727184,-0.984989201562466
0.08156472,-0.984502895011116
0.0858576,-0.98401658845943
0.09015048,-0.983530281907484
0.09444336,-0.983043975355401
0.09873624,-0.982557668803226
0.10302912,-0.9820713622511
0.107322,-0.981585055699284
0.11161488,-0.981098749147824
0.11590776,-0.980612442596644
0.12020064,-0.980126136045485
0.12449352,-0.979639829494706
0.1287864,-0.979153522944276
0.13307928,-0.978667216393654
0.13737216,-0.978180909842777
0.14166504,-0.977694603291671
0.14595792,-0.97720829674068
0.1502508,-0.976721990189906
0.15454368,-0.976235683639364
0.15883656,-0.975749377089058
0.16312944,-0.975263070538951
0.16742232,-0.974776763989009
0.1717152,-0.974290457439224
0.17600808,-0.973804150889584
0.18030096,-0.973317844340072
0.18459384,-0.972831537790685
0.18888672,-0.972345231241326
0.1931796,-0.971858924691949
0.19747248,-0.971372618142546
0.20176536,-0.970886311593111
0.20605824,-0.970400005043637
0.21035112,-0.969913698494107
0.214644,-0.969427391944472
0.21893688,-0.968941085394615
0.22322976,-0.968454778844528
0.22752264,-0.967968472294205
0.23181552,-0.967482165743611
0.2361084,-0.966995859192735
0.24040128,-0.966509552641575
0.24469416,-0.966023246090303
0.24898704,-0.965536939538957
0.25327992,-0.965050632987562
0.2575728,-0.964564326436243
0.26186568,-0.964078019885014
0.26615856,-0.963591713333876
0.27045144,-0.963105406782856
0.27474432,-0.962619100232173
0.2790372,-0.962132793681882
0.28333008,-0.961646487131987
0.28762296,-0.961160180582601
0.29191584,-0.960673874033754
0.29620872,-0.960187567485445
0.3005016,-0.959701260937673
0.30479448,-0.959214954390456
0.30908736,-0.95872864784381
0.31338024,-0.958242341297697
