"Distance [mm]","Voltage [mV]"
0,-986.617457738569
0.00421987,-986.61719840136
0.00843974,-986.616356095448
0.01265961,-986.614930820831
0.01687948,-986.612908830498
0.02109935,-986.610337465166
0.02531922,-986.607230354163
0.02953909,-986.60358188702
0.03375896,-986.599392063736
0.03797883,-986.594640946186
0.0421987,-986.589129618454
0.04641857,-986.582836626121
0.05063844,-986.57578693203
0.05485831,-986.568096164147
0.05907818,-986.559636541504
0.06329805,-986.550134069197
0.06751792,-986.539552794182
0.07173779,-986.527892716462
0.07595766,-986.515153836035
0.08017753,-986.501196729141
0.0843974,-986.485742935794
0.08861727,-986.468108516715
0.09283714,-986.448349244455
0.09705701,-986.426884132718
0.10127688,-986.403960755614
0.10549675,-986.379147844548
0.10971662,-986.346688701317
0.11393649,-986.305353973361
0.11815636,-986.255143660683
0.12237623,-986.196326671348
0.1265961,-986.106747787883
0.13081597,-985.986322238143
0.13503584,-985.833131103669
0.13925571,-985.405050439889
0.14347558,-984.913978591477
0.14769545,-984.406136408754
0.15191532,-983.898977025831
0.15613519,-983.395261433744
0.16035506,-982.892367970967
0.16457493,-982.389113403172
0.1687948,-981.885406682455
0.17301467,-981.38144727624
0.17723454,-980.877307685394
0.18145441,-980.373203195372
0.18567428,-979.869056066689
0.18989415,-979.364904901057
0.19411402,-978.860772854877
0.19833389,-978.356657836518
0.20255376,-977.852558862545
0.20677363,-977.348471676312
0.2109935,-976.844383128831
0.21521337,-976.340291900569
0.21943324,-975.836199825028
0.22365311,-975.332106700857
0.22787298,-974.828012417221
0.23209285,-974.323918782302
0.23631272,-973.819825281917
0.24053259,-973.315731798889
0.24475246,-972.811638323667
0.24897233,-972.307544870315
0.2531922,-971.803451402027
0.25741207,-971.299357930491
0.26163194,-970.795264457583
0.26585181,-970.291170982384
0.27007168,-969.787077506614
0.27429155,-969.282984032056
0.27851142,-968.77889055768
0.28273129,-968.274797083456
0.28695116,-967.770703609244
0.29117103,-967.266610135023
0.2953909,-966.762516660802
0.29961077,-966.258423186576
0.30383064,-965.754329712345
0.30805051,-965.25023623811
0.31227038,-964.746142763865
0.31649025,-964.242049289611
0.32071012,-963.737955815345
0.32492999,-963.233862341071
0.32914986,-962.729768866789
0.33336973,-962.225675392505
0.3375896,-961.721581918222
0.34180947,-961.217488443943
0.34602934,-960.713394969664
0.35024921,-960.209301495385
0.35446908,-959.705208021104
0.35868895,-959.201114546822
0.36290882,-958.697021072538
0.36712869,-958.192927598251
0.37134856,-957.688834123962
0.37556843,-957.184740649668
0.3797883,-956.680647175374
0.38400817,-956.17655370108
0.38822804,-955.672460226785
0.39244791,-955.16836675249
0.39666778,-954.664273278197
0.40088765,-954.160179803907
0.40510752,-953.656086329624
0.40932739,-953.151992855349
0.41354726,-952.647899381082
0.41776713,-952.143805906822
0.421987,-951.639712432567
0.42620687,-951.135618958317
0.43042674,-950.63152548407
0.43464661,-950.127432009825
0.43886648,-949.623338535584
0.44308635,-949.119245061342
0.44730622,-948.615151587099
0.45152609,-948.111058112855
0.45574596,-947.60696463861
0.45996583,-947.102871164362
0.4641857,-946.598777690111
0.46840557,-946.094684215857
0.47262544,-945.5905907416
0.47684531,-945.08649726734
0.48106518,-944.582403793076
0.48528505,-944.078310318811
0.48950492,-943.574216844541
0.49372479,-943.070123370268
0.49794466,-942.566029895993
0.50216453,-942.061936421717
0.5063844,-941.557842947439
0.51060427,-941.053749473162
0.51482414,-940.549655998884
0.51904401,-940.045562524606
0.52326388,-939.541469050327
0.52748375,-939.037375576048
0.53170362,-938.533282101767
0.53592349,-938.029188627486
0.54014336,-937.525095153199
0.54436323,-937.021001678906
0.5485831,-936.516908204608
0.55280297,-936.012814730303
0.55702284,-935.508721255993
0.56124271,-935.004627781676
0.56546258,-934.500534307353
0.56968245,-933.996440833024
0.57390232,-933.492347358688
0.57812219,-932.988253884345
0.58234206,-932.484160409998
0.58656193,-931.980066935647
0.5907818,-931.475973461291
0.59500167,-930.971879986932
0.59922154,-930.46778651257
0.60344141,-929.963693038204
0.60766128,-929.459599563835
0.61188115,-928.955506089462
0.61610102,-928.451412615086
0.62032089,-927.947319140705
0.62454076,-927.443225666322
0.62876063,-926.939132191938
0.6329805,-926.435038717553
0.63720037,-925.930945243164
0.64142024,-925.426851768776
0.64564011,-924.922758294391
0.64985998,-924.418664820009
0.65407985,-923.91457134563
0.65829972,-923.410477871253
0.66251959,-922.90638439688
0.66673946,-922.402290922514
0.67095933,-921.898197448152
0.6751792,-921.394103973793
0.67939907,-920.890010499439
0.68361894,-920.385917025088
0.68783881,-919.88182355074
0.69205868,-919.377730076397
0.69627855,-918.873636602057
0.70049842,-918.369543127722
0.70471829,-917.86544965339
0.70893816,-917.361356179059
0.71315803,-916.857262704731
0.7173779,-916.353169230405
0.72159777,-915.849075756082
0.72581764,-915.34498228176
0.73003751,-914.840888807438
0.73425738,-914.336795333115
0.73847725,-913.832701858792
0.74269712,-913.328608384468
0.74691699,-912.824514910144
0.75113686,-912.320421435819
0.75535673,-911.816327961494
0.7595766,-911.312234487168
0.76379647,-910.808141012841
0.76801634,-910.304047538514
0.77223621,-909.799954064186
0.77645608,-909.295860589857
0.78067595,-908.791767115528
0.78489582,-908.287673641199
0.78911569,-907.783580166868
0.79333556,-907.279486692538
0.79755543,-906.775393218208
0.8017753,-906.271299743877
0.80599517,-905.767206269547
0.81021504,-905.263112795216
0.81443491,-904.759019320885
0.81865478,-904.254925846554
0.82287465,-903.750832372223
0.82709452,-903.246738897893
0.83131439,-902.742645423562
0.83553426,-902.238551949231
0.83975413,-901.7344584749
0.843974,-901.230365000569
0.84819387,-900.726271526237
0.85241374,-900.222178051906
0.85663361,-899.718084577575
0.86085348,-899.213991103243
0.86507335,-898.70989762891
0.86929322,-898.205804154574
0.87351309,-897.701710680238
0.87773296,-897.1976172059
