Scalar,data,"SurfaceValue(Surface(Rectangle1), VOLTAGE)",
NumElems,3579,,
-5.00E-06,-2.09E-03,0.00E+00,"		-4.9999997424908899e-01"
-2.45E-06,-2.09E-03,0.00E+00,"		-4.9999997051447825e-01"
-5.00E-06,-2.09E-03,0.00E+00,"		-5.0000001124518390e-01"
9.73E-08,-2.09E-03,0.00E+00,"		-4.9999988086288760e-01"
-2.45E-06,-2.09E-03,0.00E+00,"		-5.0000015349499005e-01"
-5.00E-06,-2.09E-03,0.00E+00,"		-4.9999997184485301e-01"
-5.00E-06,-2.01E-03,0.00E+00,"		-5.0000000013393120e-01"
-5.00E-06,-2.01E-03,0.00E+00,"		-4.9999999978283688e-01"
-2.23E-06,-2.01E-03,0.00E+00,"		-5.0000000007197987e-01"
-5.00E-06,-2.01E-03,0.00E+00,"		-5.0000000266983968e-01"
-2.23E-06,-2.01E-03,0.00E+00,"		-4.9999999917666210e-01"
5.48E-07,-2.01E-03,0.00E+00,"		-5.0000000031262382e-01"
9.73E-08,-2.09E-03,0.00E+00,"		-4.9999988086288760e-01"
2.55E-06,-2.09E-03,0.00E+00,"		-4.9999998997786838e-01"
2.55E-06,-2.09E-03,0.00E+00,"		-4.9999999018147229e-01"
5.00E-06,-2.09E-03,0.00E+00,"		-4.9999999486722246e-01"
5.00E-06,-2.09E-03,0.00E+00,"		-5.0000001693255847e-01"
5.00E-06,-2.09E-03,0.00E+00,"		-4.9999997923195655e-01"
-2.25E-07,-1.93E-03,0.00E+00,"		-5.0937981615284289e-01"
-7.39E-07,-1.93E-03,0.00E+00,"		-5.1160795299040851e-01"
-1.03E-06,-1.93E-03,0.00E+00,"		-5.1395522017106332e-01"
-1.25E-06,-1.93E-03,0.00E+00,"		-5.1653808183676042e-01"
-1.54E-06,-1.93E-03,0.00E+00,"		-5.2087990576993171e-01"
-1.84E-06,-1.93E-03,0.00E+00,"		-5.2704334997287450e-01"
-9.48E-07,-1.96E-03,0.00E+00,"		-5.1315704379029603e-01"
-2.21E-07,-1.96E-03,0.00E+00,"		-5.0913926836012557e-01"
-2.63E-07,-1.96E-03,0.00E+00,"		-5.0919388673646382e-01"
5.06E-07,-1.96E-03,0.00E+00,"		-5.1029552707394676e-01"
4.64E-07,-1.96E-03,0.00E+00,"		-5.0997732422864861e-01"
4.22E-07,-1.96E-03,0.00E+00,"		-5.0964004568454446e-01"
-1.86E-07,-2.12E-03,0.00E+00,"		-2.7196702059839092e-03"
3.91E-07,-2.11E-03,0.00E+00,"		-5.2089137322565600e-03"
1.11E-06,-2.12E-03,0.00E+00,"		-2.7042492551482824e-03"
9.69E-07,-2.11E-03,0.00E+00,"		-9.6877528969105831e-03"
1.68E-06,-2.11E-03,0.00E+00,"		-5.1879263374000973e-03"
2.40E-06,-2.12E-03,0.00E+00,"		-2.8159723177842966e-03"
1.79E-06,-2.11E-03,0.00E+00,"		-5.4720018653668191e-02"
2.10E-06,-2.11E-03,0.00E+00,"		-3.5990683319125964e-02"
1.44E-06,-2.11E-03,0.00E+00,"		-3.8096857617364782e-02"
2.40E-06,-2.11E-03,0.00E+00,"		-2.3812865937100448e-02"
1.74E-06,-2.11E-03,0.00E+00,"		-2.5148476703986684e-02"
1.09E-06,-2.11E-03,0.00E+00,"		-2.6417985419707930e-02"
4.77E-07,-1.99E-03,0.00E+00,"		-5.0000006774001282e-01"
-2.26E-06,-1.99E-03,0.00E+00,"		-5.0000001429632490e-01"
-2.26E-06,-1.99E-03,0.00E+00,"		-5.0000003790749836e-01"
-5.00E-06,-2.00E-03,0.00E+00,"		-5.0000001281514961e-01"
-5.00E-06,-1.99E-03,0.00E+00,"		-5.0000001067132238e-01"
-5.00E-06,-1.99E-03,0.00E+00,"		-5.0000064223718343e-01"
-2.48E-06,-1.98E-03,0.00E+00,"		-5.0018576749853705e-01"
-1.62E-06,-1.98E-03,0.00E+00,"		-5.0002632815590420e-01"
-3.74E-06,-1.98E-03,0.00E+00,"		-5.0000751656059739e-01"
-7.71E-07,-1.98E-03,0.00E+00,"		-5.0000700346827198e-01"
-2.89E-06,-1.98E-03,0.00E+00,"		-5.0000653386062888e-01"
-5.00E-06,-1.98E-03,0.00E+00,"		-5.0003684055599562e-01"
-5.00E-06,-1.98E-03,0.00E+00,"		-5.0003684055599562e-01"
-5.00E-06,-1.98E-03,0.00E+00,"		-4.9997317922330886e-01"
-3.74E-06,-1.98E-03,0.00E+00,"		-5.0000751656059739e-01"
-5.00E-06,-1.98E-03,0.00E+00,"		-5.0039515955178926e-01"
-3.74E-06,-1.98E-03,0.00E+00,"		-5.0027007581853533e-01"
-2.48E-06,-1.98E-03,0.00E+00,"		-5.0018576749853705e-01"
-5.00E-06,-1.97E-03,0.00E+00,"		-8.8377567678721036e-01"
-5.00E-06,-1.97E-03,0.00E+00,"		-8.8376672948342905e-01"
-4.44E-06,-1.97E-03,0.00E+00,"		-8.0252395380006536e-01"
-5.00E-06,-1.97E-03,0.00E+00,"		-8.8501997483043326e-01"
-4.44E-06,-1.97E-03,0.00E+00,"		-8.0249809304720565e-01"
-3.88E-06,-1.97E-03,0.00E+00,"		-7.2512120219657883e-01"
2.19E-06,-2.10E-03,0.00E+00,"		-4.9972392170871571e-01"
3.59E-06,-2.10E-03,0.00E+00,"		-4.9993317454675329e-01"
3.59E-06,-2.10E-03,0.00E+00,"		-4.9968499525885907e-01"
5.00E-06,-2.10E-03,0.00E+00,"		-4.9998010977998242e-01"
5.00E-06,-2.10E-03,0.00E+00,"		-4.9994010868075972e-01"
5.00E-06,-2.10E-03,0.00E+00,"		-4.9965249158829367e-01"
5.00E-06,-2.10E-03,0.00E+00,"		-4.9998010977998242e-01"
3.59E-06,-2.10E-03,0.00E+00,"		-4.9993317454675329e-01"
2.54E-06,-2.10E-03,0.00E+00,"		-4.9998235137076324e-01"
2.19E-06,-2.10E-03,0.00E+00,"		-4.9972392170871571e-01"
1.13E-06,-2.10E-03,0.00E+00,"		-4.9994790085611551e-01"
7.93E-08,-2.10E-03,0.00E+00,"		-4.9998375217274565e-01"
-4.04E-06,-1.97E-03,0.00E+00,"		-7.4392974408419377e-01"
-4.52E-06,-1.97E-03,0.00E+00,"		-8.1203072330962445e-01"
-3.96E-06,-1.97E-03,0.00E+00,"		-7.3541631112222405e-01"
-5.00E-06,-1.97E-03,0.00E+00,"		-8.8377567678721036e-01"
-4.44E-06,-1.97E-03,0.00E+00,"		-8.0252395380006536e-01"
-3.88E-06,-1.97E-03,0.00E+00,"		-7.2512120219657883e-01"
-1.52E-06,-2.11E-03,0.00E+00,"		-8.9907051454098628e-03"
-8.51E-07,-2.11E-03,0.00E+00,"		-4.8300401773239045e-03"
-2.05E-06,-2.11E-03,0.00E+00,"		-4.9880496812135027e-03"
-1.86E-07,-2.12E-03,0.00E+00,"		-2.7196702059839092e-03"
-1.39E-06,-2.12E-03,0.00E+00,"		-2.8978126862330938e-03"
-2.59E-06,-2.12E-03,0.00E+00,"		-3.1087873415697903e-03"
-1.52E-06,-2.11E-03,0.00E+00,"		-8.9907051454098628e-03"
-2.05E-06,-2.11E-03,0.00E+00,"		-4.9880496812135027e-03"
-2.22E-06,-2.11E-03,0.00E+00,"		-1.3767993610132361e-02"
-2.59E-06,-2.12E-03,0.00E+00,"		-3.1087873415697903e-03"
-2.76E-06,-2.11E-03,0.00E+00,"		-7.4724115082786995e-03"
-2.92E-06,-2.11E-03,0.00E+00,"		-2.1047485157838903e-02"
-1.42E-06,-1.92E-03,0.00E+00,"		-5.1864553181995665e-01"
-7.25E-07,-1.92E-03,0.00E+00,"		-5.1125329562891220e-01"
-7.92E-07,-1.92E-03,0.00E+00,"		-5.1179124309266844e-01"
-2.57E-08,-1.92E-03,0.00E+00,"		-5.0922262267795970e-01"
-9.27E-08,-1.92E-03,0.00E+00,"		-5.0909085692955625e-01"
-1.60E-07,-1.92E-03,0.00E+00,"		-5.0916368578917670e-01"
-1.25E-06,-1.93E-03,0.00E+00,"		-5.1653808183676042e-01"
-1.81E-06,-1.93E-03,0.00E+00,"		-5.2629473920433534e-01"
-1.54E-06,-1.93E-03,0.00E+00,"		-5.2087990576993171e-01"
-2.36E-06,-1.93E-03,0.00E+00,"		-5.4387521870320255e-01"
-2.10E-06,-1.93E-03,0.00E+00,"		-5.3455585663147942e-01"
-1.84E-06,-1.93E-03,0.00E+00,"		-5.2704334997287450e-01"
-5.39E-07,-1.92E-03,0.00E+00,"		-5.1049807510013112e-01"
-1.07E-06,-1.92E-03,0.00E+00,"		-5.1429086652671085e-01"
-4.37E-07,-1.92E-03,0.00E+00,"		-5.0989934114469837e-01"
-1.60E-06,-1.92E-03,0.00E+00,"		-5.2201211793417079e-01"
-9.68E-07,-1.92E-03,0.00E+00,"		-5.1326065172213975e-01"
-3.35E-07,-1.92E-03,0.00E+00,"		-5.0968982408656360e-01"
-2.16E-07,-1.96E-03,0.00E+00,"		-5.0926191852381564e-01"
4.40E-07,-1.96E-03,0.00E+00,"		-5.0979970802029340e-01"
1.45E-07,-1.96E-03,0.00E+00,"		-5.0916220823918912e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
8.01E-07,-1.96E-03,0.00E+00,"		-5.1191672292915458e-01"
5.06E-07,-1.96E-03,0.00E+00,"		-5.1029552707394676e-01"
-2.16E-07,-1.96E-03,0.00E+00,"		-5.0926191852381564e-01"
6.00E-07,-1.96E-03,0.00E+00,"		-5.1081618637579440e-01"
4.40E-07,-1.96E-03,0.00E+00,"		-5.0979970802029340e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.26E-06,-1.96E-03,0.00E+00,"		-5.1642324400066086e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
2.14E-06,-1.96E-03,0.00E+00,"		-5.3609209676243486e-01"
1.62E-06,-1.96E-03,0.00E+00,"		-5.2188356455343665e-01"
1.78E-06,-1.96E-03,0.00E+00,"		-5.2549514768640149e-01"
1.10E-06,-1.96E-03,0.00E+00,"		-5.1471156380199279e-01"
1.26E-06,-1.96E-03,0.00E+00,"		-5.1642324400066086e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.42E-06,-1.96E-03,0.00E+00,"		-5.1828341674319300e-01"
1.93E-06,-1.96E-03,0.00E+00,"		-5.2938090132486015e-01"
1.78E-06,-1.96E-03,0.00E+00,"		-5.2549514768640149e-01"
