Freq.	V(n003)
1.00000000000000e+00	(-8.91553530008133e-10dB,-1.00799999994853e-03°)
1.12201845430196e+00	(-1.12240098927069e-09dB,-1.13099460186368e-03°)
1.25892541179417e+00	(-1.41301650059840e-09dB,-1.26899681498583e-03°)
1.41253754462275e+00	(-1.77888427013088e-09dB,-1.42383784483468e-03°)
1.58489319246111e+00	(-2.23948178405206e-09dB,-1.59757233779591e-03°)
1.77827941003892e+00	(-2.81934249746155e-09dB,-1.79250564502981e-03°)
1.99526231496888e+00	(-3.54933646125508e-09dB,-2.01122441307981e-03°)
2.23872113856834e+00	(-4.46835114490665e-09dB,-2.25663090709941e-03°)
2.51188643150958e+00	(-5.62532423878047e-09dB,-2.53198152214595e-03°)
2.81838293126445e+00	(-7.08186276754985e-09dB,-2.84092999356236e-03°)
3.16227766016838e+00	(-8.91553626852686e-09dB,-3.18757587982219e-03°)
3.54813389233575e+00	(-1.12239954343216e-08dB,-3.57651896117548e-03°)
3.98107170553497e+00	(-1.41301708022929e-08dB,-4.01292027593189e-03°)
4.46683592150963e+00	(-1.77888311457735e-08dB,-4.50257060429468e-03°)
5.01187233627272e+00	(-2.23948111162116e-08dB,-5.05196730848356e-03°)
5.62341325190348e+00	(-2.81933970502996e-08dB,-5.66840054876640e-03°)
6.30957344480192e+00	(-3.54933820357121e-08dB,-6.36005001943236e-03°)
7.07945784384137e+00	(-4.46835240887647e-08dB,-7.13609348833084e-03°)
7.94328234724280e+00	(-5.62532223008709e-08dB,-8.00682858022603e-03°)
8.91250938133744e+00	(-7.08186076844539e-08dB,-8.98380941995214e-03°)
9.99999999999998e+00	(-8.91553447748530e-08dB,-1.00799999485328e-02°)
1.12201845430196e+01	(-1.12239928959043e-07dB,-1.13099459466644e-02°)
1.25892541179416e+01	(-1.41301699414065e-07dB,-1.26899680481946e-02°)
1.41253754462275e+01	(-1.77888298632253e-07dB,-1.42383783047430e-02°)
1.58489319246111e+01	(-2.23948099295526e-07dB,-1.59757231751133e-02°)
1.77827941003892e+01	(-2.81933953405854e-07dB,-1.79250561637708e-02°)
1.99526231496888e+01	(-3.54933816276208e-07dB,-2.01122437260676e-02°)
2.23872113856833e+01	(-4.46835196265086e-07dB,-2.25663084992971e-02°)
2.51188643150957e+01	(-5.62532172864416e-07dB,-2.53198144139161e-02°)
2.81838293126445e+01	(-7.08186041110798e-07dB,-2.84092987949381e-02°)
3.16227766016837e+01	(-8.91553384781785e-07dB,-3.18757571869609e-02°)
3.54813389233575e+01	(-1.12239918610001e-06dB,-3.57651873357882e-02°)
3.98107170553496e+01	(-1.41301681503373e-06dB,-4.01291995444307e-02°)
4.46683592150962e+01	(-1.77888271246083e-06dB,-4.50257015017969e-02°)
5.01187233627271e+01	(-2.23948054593529e-06dB,-5.05196666702912e-02°)
5.62341325190347e+01	(-2.81933880410082e-06dB,-5.66839964268799e-02°)
6.30957344480191e+01	(-3.54933700731648e-06dB,-6.36004873956271e-02°)
7.07945784384136e+01	(-4.46835013879370e-06dB,-7.13609168046712e-02°)
7.94328234724279e+01	(-5.62531888684242e-06dB,-8.00682602655103e-02°)
8.91250938133743e+01	(-7.08185586279440e-06dB,-8.98380581279099e-02°)
9.99999999999997e+01	(-8.91552666588198e-06dB,-1.00799948532834e-01°)
1.12201845430196e+02	(-1.12239804830028e-05dB,-1.13099387494355e-01°)
1.25892541179416e+02	(-1.41301501306418e-05dB,-1.26899578818423e-01°)
1.41253754462275e+02	(-1.77887985454958e-05dB,-1.42383639443955e-01°)
1.58489319246111e+02	(-2.23947601873002e-05dB,-1.59757028905952e-01°)
1.77827941003892e+02	(-2.81933162947297e-05dB,-1.79250275111486e-01°)
1.99526231496887e+02	(-3.54932563438852e-05dB,-2.01122032532006e-01°)
2.23872113856833e+02	(-4.46833211756861e-05dB,-2.25662513299200e-01°)
2.51188643150957e+02	(-5.62529032366845e-05dB,-2.53197336601436e-01°)
2.81838293126444e+02	(-7.08181059214686e-05dB,-2.84091847274144e-01°)
3.16227766016837e+02	(-8.91545492058300e-05dB,-3.18755960626777e-01°)
3.54813389233574e+02	(-1.12238667723682e-04dB,-3.57649597423587e-01°)
3.98107170553496e+02	(-1.41299699148960e-04dB,-4.01288780613577e-01°)
4.46683592150961e+02	(-1.77885129235582e-04dB,-4.50252473970043e-01°)
5.01187233627270e+02	(-2.23943075126045e-04dB,-5.05190252339889e-01°)
5.62341325190347e+02	(-2.81925988593508e-04dB,-5.66830903807180e-01°)
6.30957344480191e+02	(-3.54921192944617e-04dB,-6.35992075833161e-01°)
7.07945784384135e+02	(-4.46815190991957e-04dB,-7.13591090429106e-01°)
7.94328234724278e+02	(-5.62500471926615e-04dB,-8.00657067718121e-01°)
8.91250938133742e+02	(-7.08135795007506e-04dB,-8.98344512891593e-01°)
9.99999999999995e+02	(-8.91473755163416e-04dB,-1.00794853856763e+00°)
1.12201845430196e+03	(-1.12227298600992e-03dB,-1.13092191284874e+00°)
1.25892541179416e+03	(-1.41281681125981e-03dB,-1.26889414278869e+00°)
1.41253754462275e+03	(-1.77856574225746e-03dB,-1.42369282319693e+00°)
1.58489319246111e+03	(-2.23897821740174e-03dB,-1.59736750119277e+00°)
1.77827941003891e+03	(-2.81854273317633e-03dB,-1.79221632680435e+00°)
1.99526231496887e+03	(-3.54807544859008e-03dB,-2.01081577785729e+00°)
2.23872113856833e+03	(-4.46635096773830e-03dB,-2.25605376141120e+00°)
2.51188643150957e+03	(-5.62215093415622e-03dB,-2.53116640113184e+00°)
2.81838293126444e+03	(-7.07683603440156e-03dB,-2.83977881594927e+00°)
3.16227766016836e+03	(-8.90757285010079e-03dB,-3.18595017400311e+00°)
3.54813389233573e+03	(-1.12113786646046e-02dB,-3.57422325848900e+00°)
3.98107170553495e+03	(-1.41101858362341e-02dB,-4.00967869632135e+00°)
4.46683592150961e+03	(-1.77571736915046e-02dB,-4.49799385943178e+00°)
5.01187233627269e+03	(-2.23446708949443e-02dB,-5.04550622850172e+00°)
5.62341325190346e+03	(-2.81139952954586e-02dB,-5.65928067800225e+00°)
6.30957344480189e+03	(-3.53676708061790e-02dB,-6.34717965679887e+00°)
7.07945784384134e+03	(-4.44845397715369e-02dB,-7.11793454420906e+00°)
7.94328234724277e+03	(-5.59383695422830e-02dB,-7.98121548583846e+00°)
