Freq.	V(n003)
1.00000000000000e+00	(-1.45220291153572e-09dB,-1.18799999988650e-03°)
1.12201845430196e+00	(-1.82821540602012e-09dB,-1.33295792355041e-03°)
1.25892541179417e+00	(-2.30158833022420e-09dB,-1.49560338898501e-03°)
1.41253754462275e+00	(-2.89752920414795e-09dB,-1.67809460269195e-03°)
1.58489319246111e+00	(-3.64776825878935e-09dB,-1.88285311219196e-03°)
1.77827941003892e+00	(-4.59227011740578e-09dB,-2.11259593848799e-03°)
1.99526231496888e+00	(-5.78132735045709e-09dB,-2.37037162928147e-03°)
2.23872113856834e+00	(-7.27825866387791e-09dB,-2.65960071134571e-03°)
2.51188643150958e+00	(-9.16278404524363e-09dB,-2.98412107883454e-03°)
2.81838293126445e+00	(-1.15352620187109e-08dB,-3.34823891980125e-03°)
3.16227766016838e+00	(-1.45220339479204e-08dB,-3.75678585669088e-03°)
3.54813389233575e+00	(-1.82821569704998e-08dB,-4.21518305902507e-03°)
3.98107170553497e+00	(-2.30158717577567e-08dB,-4.72951317901425e-03°)
4.46683592150963e+00	(-2.89752670124618e-08dB,-5.30660106463784e-03°)
5.01187233627272e+00	(-3.64777019433800e-08dB,-5.95410432120333e-03°)
5.62341325190348e+00	(-4.59227061049531e-08dB,-6.68061492307807e-03°)
6.30957344480192e+00	(-5.78132611414761e-08dB,-7.49577322391506e-03°)
7.07945784384137e+00	(-7.27825820915854e-08dB,-8.41039587821263e-03°)
7.94328234724280e+00	(-9.16278408874001e-08dB,-9.43661937164027e-03°)
8.91250938133744e+00	(-1.15352617983498e-07dB,-1.05880610646778e-02°)
9.99999999999998e+00	(-1.45220340571783e-07dB,-1.18799998865011e-02°)
1.12201845430196e+01	(-1.82821576258257e-07dB,-1.33295790767859e-02°)
1.25892541179416e+01	(-2.30158729000951e-07dB,-1.49560336656547e-02°)
1.41253754462275e+01	(-2.89752667723963e-07dB,-1.67809457102350e-02°)
1.58489319246111e+01	(-3.64776992576049e-07dB,-1.88285306745909e-02°)
1.77827941003892e+01	(-4.59227021830298e-07dB,-2.11259587530114e-02°)
1.99526231496888e+01	(-5.78132563156711e-07dB,-2.37037154002767e-02°)
2.23872113856833e+01	(-7.27825763499392e-07dB,-2.65960058527136e-02°)
2.51188643150957e+01	(-9.16278330865110e-07dB,-2.98412090074981e-02°)
2.81838293126445e+01	(-1.15352603854869e-06dB,-3.34823866824988e-02°)
3.16227766016837e+01	(-1.45220319867635e-06dB,-3.75678550136515e-02°)
3.54813389233575e+01	(-1.82821543236576e-06dB,-4.21518255711415e-02°)
3.98107170553496e+01	(-2.30158674766757e-06dB,-4.72951247004629e-02°)
4.46683592150962e+01	(-2.89752584989843e-06dB,-5.30660006319406e-02°)
